Message Tracking Report
Created On:,"Nov 01, 2022"
School:,All
Date range:,"Oct 23, 2022 - Oct 29, 2022"
Delivery time:,"active, pending, complete"
Message category:,All
Deliver via:,All
""
ID,Message,Type,Sender,School,Start Time,Status,Delivered,Total,Phone Delivered,Phone Attempted/Completed,Email Delivered,Email Attempted/Completed,Text/SMS Delivered,Text/SMS Attempted/Completed
2001094580,Message - 10/23/22 2:33 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 02:34 AM",Complete,1,452,0,0,0,0,0,0
2001094581,Message - 10/23/22 2:35 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 02:35 AM",Complete,1,452,0,0,0,0,0,0
2001094582,Message - 10/23/22 2:42 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 02:42 AM",Complete,1,452,0,0,0,0,0,0
2001094583,Message - 10/23/22 6:53 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 06:53 AM",Complete,1,452,0,0,0,0,0,0
2001094584,Message - 10/23/22 6:55 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 06:55 AM",Complete,1,452,0,0,0,0,0,0
2001094586,Message - 10/23/22 7:03 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 07:03 AM",Complete,1,452,0,0,0,0,0,0
2001094587,Message - 10/23/22 7:09 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 07:09 AM",Complete,1,452,0,0,0,0,0,0
2001094588,Message - 10/23/22 7:13 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 07:13 AM",Complete,1,452,0,0,0,0,0,0
2001094589,Message - 10/23/22 7:23 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 07:23 AM",Complete,1,452,0,0,0,0,0,0
2001094590,Message - 10/23/22 7:32 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 07:32 AM",Complete,1,452,0,0,0,0,0,0
2001094592,Message - 10/23/22 7:35 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 07:35 AM",Complete,1,452,0,0,0,0,0,0
2001094596,Message - 10/23/22 7:38 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 07:38 AM",Complete,1,452,0,0,0,0,0,0
2001094598,Message - 10/23/22 7:45 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 07:45 AM",Complete,1,452,0,0,0,0,0,0
2001094599,Message - 10/23/22 7:47 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 07:47 AM",Complete,1,452,0,0,0,0,0,0
2001094600,Message - 10/23/22 7:48 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 07:48 AM",Complete,1,452,0,0,0,0,0,0
2001094601,Message - 10/23/22 7:51 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 07:51 AM",Complete,1,452,0,0,0,0,0,0
2001094603,Message - 10/23/22 8:00 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 08:00 AM",Complete,1,452,0,0,0,0,0,0
2001094604,Message - 10/23/22 8:01 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 08:01 AM",Complete,1,452,0,0,0,0,0,0
2001094605,Message - 10/23/22 8:03 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 08:03 AM",Complete,1,452,0,0,0,0,0,0
2001094606,Message - 10/23/22 8:04 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 08:04 AM",Complete,1,452,0,0,0,0,0,0
2001094607,Message - 10/23/22 8:05 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 08:05 AM",Complete,1,452,0,0,0,0,0,0
2001094608,Message - 10/23/22 8:16 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 08:16 AM",Complete,1,452,0,0,0,0,0,0
2001094609,Message - 10/23/22 8:17 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 08:17 AM",Complete,1,452,0,0,0,0,0,0
2001094610,Message - 10/23/22 8:18 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 08:18 AM",Complete,1,452,0,0,0,0,0,0
2001094611,Message - 10/23/22 8:24 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 08:24 AM",Complete,1,452,0,0,0,0,0,0
2001094612,Message - 10/23/22 8:40 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 08:40 AM",Complete,1,452,0,0,0,0,0,0
2001094613,Message - 10/23/22 8:52 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 08:52 AM",Complete,1,452,0,0,0,0,0,0
2001094614,Message - 10/23/22 8:53 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 08:53 AM",Complete,2,452,0,0,0,0,0,0
2001094615,Message - 10/23/22 8:57 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 08:57 AM",Complete,1,452,0,0,0,0,0,0
2001094616,Message - 10/23/22 8:58 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 08:58 AM",Complete,2,452,0,0,0,0,0,0
2001094617,Message - 10/23/22 8:59 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 08:59 AM",Complete,2,452,0,0,0,0,0,0
2001094618,"Message - 23/10/22, 9:09 AM",,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 09:09 AM",Complete,0,1,0,0,0,0,0,0
2001094619,"Message - 23/10/22, 9:13 AM",,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 23, 2022 09:13 AM",Complete,1,1,0,0,0,0,0,0
2001094638,Message - 10/24/22 3:47 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 24, 2022 03:47 AM",Complete,2,452,0,0,0,0,0,0
2001094639,Message - 10/24/22 3:48 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 24, 2022 03:48 AM",Complete,1,452,0,0,0,0,0,0
2001094640,Message - 10/24/22 3:57 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 24, 2022 03:57 AM",Complete,1,452,0,0,0,0,0,0
2001094641,Message - 10/24/22 3:58 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 24, 2022 03:58 AM",Complete,1,452,0,0,0,0,0,0
2001094647,Message - 10/24/22 4:06 am,,V Test,SPL9 School District 99-3 R 10/39,"Oct 24, 2022 04:06 AM",Complete,1,452,0,0,0,0,0,0
2001094650,Message - 10/24/22 9:18 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 24, 2022 09:18 AM",Complete,0,452,0,0,0,0,0,0
2001094653,Message - 10/24/22 9:20 am,,V Test,SPL9 School District 99-3 R 10/39,"Oct 24, 2022 09:20 AM",Complete,0,452,0,0,0,0,0,0
2001094654,Message - 10/24/22 11:35 am,,V Test,SPL9 School District 99-3 R 10/39,"Oct 24, 2022 11:35 AM",Complete,1,452,0,0,0,0,0,0
2001094658,new message,App,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 24, 2022 11:58 AM",Posted,0,0,0,0,0,0,0,0
2001094659,new message 12,App,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 24, 2022 12:00 PM",Posted,0,0,0,0,0,0,0,0
2001094660,new message 13,App,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 24, 2022 12:02 PM",Posted,0,0,0,0,0,0,0,0
2001094661,new 14,App,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 24, 2022 12:03 PM",Posted,0,0,0,0,0,0,0,0
2001094662,fresh 1,App,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 24, 2022 12:11 PM",Posted,0,0,0,0,0,0,0,0
2001094663,fresh 2,App,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 24, 2022 12:12 PM",Posted,0,0,0,0,0,0,0,0
2001094664,fresh 3,App,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 24, 2022 12:13 PM",Posted,0,0,0,0,0,0,0,0
2001094665,fresh 4,App,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 24, 2022 12:14 PM",Posted,0,0,0,0,0,0,0,0
2001094666,light 1,App,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 24, 2022 12:15 PM",Posted,0,0,0,0,0,0,0,0
2001094667,light 2,App,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 24, 2022 12:15 PM",Posted,0,0,0,0,0,0,0,0
2001094649,Get started with SPL9 School District 99-3 R 10/39,Email,Automation Org - Do Not Delete,Automation Org - Do Not Delete,"Oct 25, 2022 03:30 AM UTC",Complete,0,10,0,0,0,10,0,0
2001094668,Oct 25 2022 10:40:05 : Automation testing for All DeliveryMethods Message,"Phone,Email,Text/SMS,Facebook,Twitter,Website,Alert,RSS",Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 25, 2022 01:10 AM",Posted,0,0,0,0,0,0,0,0
2001094669,Oct 25 2022 10:40:05 : Automation testing for All DeliveryMethods Message,"Phone,Email,Text/SMS,Facebook,Twitter,Website,Alert,RSS",Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 25, 2022 01:11 AM",Complete,0,1,1,1,0,1,1,1
2001094670,Oct 25 2022 10:51:34 : Automation testing for All DeliveryMethods Message,"Phone,Email,Text/SMS,Facebook,Twitter,Website,Alert,RSS",Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 25, 2022 01:22 AM",Complete,0,1,1,1,0,1,1,1
2001094671,Oct 25 2022 10:59:41 : Automation testing for All DeliveryMethods Message,"Phone,Email,Text/SMS,Facebook,Twitter,Website,Alert,RSS",Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 25, 2022 01:30 AM",Complete,0,1,1,1,0,1,1,1
2001094672,Oct 25 2022 11:21:46 : Automation testing for Twitter Message with GIF and JPEG Attachment,Twitter,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 25, 2022 01:52 AM",Posted,0,0,0,0,0,0,0,0
2001094673,Oct 25 2022 11:35:35 : Automation testing for All DeliveryMethods Message,"Phone,Email,Text/SMS,Facebook,Twitter,Website,Alert,RSS",Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 25, 2022 02:06 AM",Complete,0,1,0,1,0,1,0,1
2001094674,Testing,"Phone,Email,Text/SMS",Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 25, 2022 02:37 AM",Complete,1,3,1,3,0,3,0,3
2001094675,Oct 25 2022 12:21:38 : Automation testing for Twitter Message with GIF and JPEG Attachment,Twitter,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 25, 2022 02:52 AM",Posted,0,0,0,0,0,0,0,0
2001094676,Oct 25 2022 12:23:31 : Automation testing for Email Message,Email,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 25, 2022 02:55 AM",Complete,0,1,0,0,0,1,0,0
2001094677,Oct 25 2022 12:25:49 : Automation testing for App Message,App,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 25, 2022 02:57 AM",Posted,0,0,0,0,0,0,0,0
