"Message Trends Report"
"Created On:","Nov 01, 2022"
"Schools:","All schools"
"Message Type:","All"
"Years Compared:","2"
""
"SPL9 School District 99-3 R 10/39"
"Month","Year","Messages"
"Aug","2022-2023","2890"
"Sep","2022-2023","12382077"
"Oct","2022-2023","8869321"
"Nov","2022-2023","0"
"Dec","2022-2023","0"
"Jan","2022-2023","0"
"Feb","2022-2023","0"
"Mar","2022-2023","0"
"Apr","2022-2023","0"
"May","2022-2023","0"
"June","2022-2023","0"
"July","2022-2023","0"
"Aug","2021-2022","2396"
"Sep","2021-2022","27011"
"Oct","2021-2022","19795"
"Nov","2021-2022","5061"
"Dec","2021-2022","13295"
"Jan","2021-2022","271585"
"Feb","2021-2022","102218"
"Mar","2021-2022","36504"
"Apr","2021-2022","13192"
"May","2021-2022","48483"
"June","2021-2022","312"
"July","2021-2022","89952003"
