System Statistics Report
Created On:,"Nov 01, 2022"
School:,All
Date range:,"Oct 23, 2022 - Oct 29, 2022"
Delivery type:,"Printer, Phone - voice (inbound), Phone - TTY, Phone - text message (SMS), Internet (WWW), Phone - voice, E-Mail"
""
Organization,Delivery Method,# Messages
System Summary,Printer,0
System Summary,Phone - voice (inbound),0
System Summary,Phone - TTY,0
System Summary,Phone - text message (SMS),21
System Summary,Internet (WWW),0
System Summary,Phone - voice,65
System Summary,E-Mail,71
System Summary,Grand Totals,157
SPL9 School District 99-3 R 10/39,Printer,0
SPL9 School District 99-3 R 10/39,Phone - voice (inbound),0
SPL9 School District 99-3 R 10/39,Phone - TTY,0
SPL9 School District 99-3 R 10/39,Phone - text message (SMS),21
SPL9 School District 99-3 R 10/39,Internet (WWW),0
SPL9 School District 99-3 R 10/39,Phone - voice,65
SPL9 School District 99-3 R 10/39,E-Mail,65
SPL9 School District 99-3 R 10/39,Grand Totals,151
1.7Regression,Printer,0
1.7Regression,Phone - voice (inbound),0
1.7Regression,Phone - TTY,0
1.7Regression,Phone - text message (SMS),0
1.7Regression,Internet (WWW),0
1.7Regression,Phone - voice,0
1.7Regression,E-Mail,0
1.7Regression,Grand Totals,0
Aachi Global School,Printer,0
Aachi Global School,Phone - voice (inbound),0
Aachi Global School,Phone - TTY,0
Aachi Global School,Phone - text message (SMS),0
Aachi Global School,Internet (WWW),0
Aachi Global School,Phone - voice,0
Aachi Global School,E-Mail,0
Aachi Global School,Grand Totals,0
New API Organization,Printer,0
New API Organization,Phone - voice (inbound),0
New API Organization,Phone - TTY,0
New API Organization,Phone - text message (SMS),0
New API Organization,Internet (WWW),0
New API Organization,Phone - voice,0
New API Organization,E-Mail,0
New API Organization,Grand Totals,0
child API school,Printer,0
child API school,Phone - voice (inbound),0
child API school,Phone - TTY,0
child API school,Phone - text message (SMS),0
child API school,Internet (WWW),0
child API school,Phone - voice,0
child API school,E-Mail,0
child API school,Grand Totals,0
Amelia &amp; Earhart,Printer,0
Amelia &amp; Earhart,Phone - voice (inbound),0
Amelia &amp; Earhart,Phone - TTY,0
Amelia &amp; Earhart,Phone - text message (SMS),0
Amelia &amp; Earhart,Internet (WWW),0
Amelia &amp; Earhart,Phone - voice,0
Amelia &amp; Earhart,E-Mail,0
Amelia &amp; Earhart,Grand Totals,0
Anastasia Oppenheimer School of the Arts,Printer,0
Anastasia Oppenheimer School of the Arts,Phone - voice (inbound),0
Anastasia Oppenheimer School of the Arts,Phone - TTY,0
Anastasia Oppenheimer School of the Arts,Phone - text message (SMS),0
Anastasia Oppenheimer School of the Arts,Internet (WWW),0
Anastasia Oppenheimer School of the Arts,Phone - voice,0
Anastasia Oppenheimer School of the Arts,E-Mail,0
Anastasia Oppenheimer School of the Arts,Grand Totals,0
Annie School,Printer,0
Annie School,Phone - voice (inbound),0
Annie School,Phone - TTY,0
Annie School,Phone - text message (SMS),0
Annie School,Internet (WWW),0
Annie School,Phone - voice,0
Annie School,E-Mail,0
Annie School,Grand Totals,0
