"System Utilization Report"
"Created On:","Nov 01, 2022"
"Schools:","All schools"
"School type:","All"
"Message type:","All"
""
"School Name","Last Year Total","Last Year Per Student","YTD Total","YTD Per Student","Last Month Total","Last Month Per Student","MTD Total","MTD Per Student","Yesterday Total","Yesterday Per student"
"Amelia &amp; Earhart","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"SPL9 School District 99-3 R 10/39","1253425","1780.43","3978135","5650.76","55720","79.15","0","0.00","3678","5.22"
"SPL9 Elementary","345531","345531.00","0","0.00","0","0.00","0","0.00","0","0.00"
"SPL9 Middle School","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Test SPL9 High School","4","0.10","0","0.00","0","0.00","0","0.00","0","0.00"
"Springtime Elementary from UK","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Bayside High School","17","0.50","0","0.00","0","0.00","0","0.00","0","0.00"
"Sunnydale High School","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Tom Landry Middle School","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Springfield Elementary","0","0.00","10","1.67","10","1.67","0","0.00","0","0.00"
"Hogwarts School of Wizardy and Witchcraft","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Westdale High School","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"St Barts","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"St Patrick's Academy","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Anastasia Oppenheimer School of the Arts","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Release 10.31.0 Auto Import","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"SBBCOM 300 School 37","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"SBBCOM 300 School 38","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"SBBCOM 300 School 39","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"SBBCOM 300 School 40","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"SBBCOM 300 School 41","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"SBBCOM 300 School 42","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"SBBCOM 300 School 43","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Release 10.29.0 Auto Import","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"SBBCOM 300 School 45","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"SBBCOM 300 School 46","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"SBBCOM 300 School 47","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Infra regression","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"SBBCOM 300 School 49","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"SBBCOM 300 School 50","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"SBBCOM 300 School 51","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Release 10.36","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"SBBCOM 300 School 53","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Release 10.39 _Auto Import","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"SBBCOM 300 School 55","42","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"SBBCOM 300 School 56","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Release 10.29.0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Release 10.34","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Release 10.30.0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"SBBCOM 300 School 60","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"SBBCOM 300 School 61","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Auto Release 10.33","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Release 10.30.0 Auto Import","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"SBBCOM 300 School 64","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"SBBCOM 300 School 65","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Release 10.32.0 Auto Import","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Independence High School","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Prabhuram High School","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Game of Thrones Academy","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"St Francis Legacy","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Branson Elementary","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Aachi Global School","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Velammal","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"SBOA","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Marshall Middle School","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Automation institute","345531","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"StageSchool","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Bangalore school of education","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Bangalore school of education - Elementary","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Bangalore school of education - Medium","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Bangalore school of education - High","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Sunshine school of education","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Kochi School of Education","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Kochi School of Education- Elementary","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Kochi School of Education- Medium","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"SAM_Institute","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Mangalore Academy","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Mangalore Academy Elementary","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Mangalore Academy Junior","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Mangalore Academy High","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"SAM_Elementary","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Masha School of Education","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Regression 1.1 School","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"AtoZ school of education","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Regression 1.0 school","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Regression Reach school","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Regression Reach High school","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"AtoZ Primary","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Bangalore - Kindergarden","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Public School Demo","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Assam Regression Reach School","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Hotfix school","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Sunshine High School","13","0.93","0","0.00","0","0.00","0","0.00","0","0.00"
"Sunshine Middle School","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Sunshine Elementary School","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Student Regression","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"NL school of education","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"School_of_automation","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Reach Regression 25","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"GT_School_of_education","0","0.00","9","9.00","0","0.00","0","0.00","0","0.00"
"Query School","0","0.00","1","1.00","1","1.00","0","0.00","0","0.00"
"Demo School of education","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Global_school","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"RG_DM_School","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"District School of Automation","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Performace Test Schoool","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"1.7Regression","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Automation Org - Do Not Delete","3840","24.30","2634","16.67","1577","9.98","0","0.00","0","0.00"
"Regression1.8_Do_Not_Delete","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"District School of Automation","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"New API Organization","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"child API school","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Washington Elementary School","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Hillsboro-Deering Elementary School","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Hillsboro-Deering High School","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Hillsboro-Deering Middle School","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"New oranization","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"NM School","42","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Test Demo 1","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Test site DMS","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Test site2 DMS","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"BBComms Performance DO NOT DELETE & DO NOT PERFORM ANY IMPORTS ON THIS","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"St. Antony's Higher Secondary School","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"Annie School","0","0.00","73","1.30","73","1.30","0","0.00","0","0.00"
"HAYS CISD","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"SPL9 Test","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
