ParentLink Settings Report
Created On:,"Nov 01, 2022"
School:,SPL9 School District 99-3 R 10/39
""
Setting,Description,Value
ABSENCEEMAILEXCUSE,Enable/Disable emailing absence excuses,TRUE
ABSENCEEMAILEXCUSEADDRESS,Email address to send absence excuses to,bindhuja.dinakaran@blackboard.com
ABSENCEEXCUSEENABLED,Allow parents to excuse absences ,TRUE
ABSENCEEXCUSES,List of excuses a parent can choose from,"family emergency, cold, flu, or injury, Vacation - family is out of town"
ABSENCEEXCUSESUDMID,Message ID of user recording of the absence excuse menu,32106
ABSENCEPROMPTEXCUSE,Prompt parents to excuse absences on outbound attendance calls,TRUE
ABSENCERECORDEXCUSE,Allow parents to record excuses rather than choosing an option from the menu,TRUE
ACCEPTABLE_BROWSER_VERSIONS,,chrome: 37; opera: 16; firefox: 26; IE: 10; safari: 6
ADMINAPPAUTOLOGOUT,,TRUE
AD_FREQUENCY_NEWS,,6
AD_FREQUENCY_STREAM,,10
AD_FREQUENCY_TOP_STORIES,,4
ALERT_TRIGGERS_ENABLED,,TRUE
ALLOW7.0SEND,,FALSE
ALLOW8.0SEND,,TRUE
ALLOWAPPLELOGIN,,TRUE
ALLOWASSIGNMENTTRIGGERS,,TRUE
ALLOWFACEBOOKLOGIN,,TRUE
ALLOWGOOGLELOGIN,,TRUE
ALLOWUPDADDRESS,Allow users to update addresses,TRUE
ALLOWUPDEMAIL,Allow users to update email addresses,TRUE
ALLOWUPDFAX,Allow users to update fax numbers,TRUE
ALLOWUPDIM,Allow users to update IM screen names,FALSE
ALLOWUPDIPPRINTER,Allow users to update Internet printer IP addresses,FALSE
ALLOWUPDPAGER,Allow users to update pagers,TRUE
ALLOWUPDPHONE,Allow users to update phone numbers,TRUE
ALLOW_API_DOC_CLUSTERS,,"pt99-4, pt99-3, pt99-2, pt99-1"
ALLPHONENUMBERSDEFAULT,,FALSE
APIURL,,https://api.parentlink.net
APPCONFIGURE,,USERNAME: appfigures-dev@parentlink.net; GOOGLE_KEY: appfiguresGoogleProductIDv2; PASSWORD: test7ing; APPLE_KEY: appfiguresAppleProductIDv2; CLIENT_KEY: 3469d95f93eb41ed8c9cb2a3b94d6611
APPROVALCUTOFFTIME,,585
APPROVALEMAIL,,testing4@parentlink.net
APPROVALMODE,,MANUAL
APPROVALTASKID,,0
ATTENDANCEINFOENABLED,,TRUE
BEGINENDYEARPROGRESS,Current progress of begin/end school year routine,100
BEGINSCHOOLYEARSTATS,Statistics for the last run of the begin end school year routine,
BUSINFOENABLED,,TRUE
CAFETERIAINFOENABLED,,TRUE
CAFETERIAPAYLINK,,https://www.d47.org/Page/1557
CAFETERIA_PAY_APP,,0
CALENDARS_GROUP_BY_TIME,,FALSE
