School Report
Created On:,"Oct 31, 2022"
School:,All schools
Roles:,All roles
""
School,Administrators,Staff Members,Teachers,Parents,Students,Other
SPL9 School District 99-2,61,35,14,32,35,78
    1.7Regression,0,0,0,1,0,2
    Aachi Global School,3,3,4,9,2001,0
        New API Organization,0,1,7,0,2000,1
            child API school,0,0,1,0,2000,0
    Amelia &amp; Earhart,1,1,0,3,1,1
    Anastasia Oppenheimer School of the Arts,0,0,0,0,0,0
    Annie School,0,2,0,9,9,1
    Assam Regression Reach School,2,1,3,2,2,5
    AtoZ school of education,1,1,2,3,0,0
        AtoZ Primary,0,0,1,1,1,0
    Auto Release 10.33,2,0,0,0,0,0
    Automation Org - Do Not Delete,6,69,102,36,38,4
    Bangalore school of education,2,2,2,1,0,0
        Bangalore - Kindergarden,0,0,0,0,0,0
        Bangalore school of education - Elementary,2,2,2,2,0,1
        Bangalore school of education - High,0,0,2,3,0,1
        Bangalore school of education - Medium,0,0,3,3,0,3
    Bayside High School,7,10,5,80,21,6
    BBComms Performance DO NOT DELETE & DO NOT PERFORM ANY IMPORTS ON THIS,0,0,0,0,5019,0
    Branson Elementary,1,0,0,0,0,0
    Demo School of education,0,0,1,1,2,0
    District School of Automation,0,0,0,0,0,0
    Game of Thrones Academy,0,0,0,1,0,2
    GT_School_of_education,2,4,6,1,1,1
        Global_school,1,2,2,1,0,0
    HAYS CISD,2,0,0,0,0,2
    Hillsboro-Deering Elementary School,0,0,0,0,11134,0
    Hillsboro-Deering High School,0,0,0,0,1000,0
    Hillsboro-Deering Middle School,0,0,0,0,10000,0
    Hogwarts School of Wizardy and Witchcraft,0,0,0,0,0,0
    Hotfix school,1,1,2,0,0,1
    Independence High School,0,0,0,0,0,0
    Infra regression,5,60,100,12,105,1
    Kochi School of Education,1,1,3,3,2003,0
        Kochi School of Education- Elementary,1,1,2,2,2000,1
        Kochi School of Education- Medium,1,1,2,2,2000,0
    Mangalore Academy,1,1,2,4,2001,0
        Mangalore Academy Elementary,0,0,3,2,52663,1
        Mangalore Academy High,0,0,2,2,2000,0
        Mangalore Academy Junior,0,0,1,2,2000,0
    Mani,0,0,0,0,0,0
    Marshall Middle School,0,0,0,0,6048,0
    Masha School of Education,1,1,1,1,0,0
    New oranization,0,0,0,0,0,0
    NL school of education,0,0,0,0,0,0
    NM School,0,0,3,0,0,0
    Performace Test Schoool,0,0,0,0,0,1
    Prabhuram High School,0,0,0,1,1,0
    Public School Demo,0,1,0,1,2,0
    Query School,1,1,1,1,1,1
    Reach Regression 25,1,1,2,2,2004,0
    Regression 1.0 school,1,1,1,1,0,0
    Regression 1.1 School,0,0,1,0,0,0
    Regression Reach school,2,1,2,3,3,1
        Regression Reach High school,0,0,1,0,0,0
    Regression1.8_Do_Not_Delete,1,1,0,0,0,0
    Release 10.29.0,0,0,0,0,0,1
    Release 10.29.0 Auto Import,0,0,0,0,0,0
    Release 10.30.0,0,0,0,0,0,3
    Release 10.30.0 Auto Import,0,0,0,0,0,0
    Release 10.31.0 Auto Import,0,1,0,0,0,1
    Release 10.32.0 Auto Import,0,0,0,0,0,0
    Release 10.34,0,0,0,0,0,0
    Release 10.36,0,0,0,0,0,0
    RG_DM_School,1,2,1,1,1999,0
    SAM_Institute,3,4,2,3,0,2
        SAM_Elementary,0,2,0,0,0,0
    SBBCOM 300 School 37,1,1,0,0,0,2
    SBBCOM 300 School 38,0,0,0,0,0,0
    SBBCOM 300 School 39,0,1,0,0,0,0
    SBBCOM 300 School 40,0,0,0,0,0,0
    SBBCOM 300 School 41,0,0,0,0,0,0
    SBBCOM 300 School 42,0,0,0,0,0,0
    SBBCOM 300 School 43,5,60,100,12,106,1
    SBBCOM 300 School 45,0,0,0,0,0,0
    SBBCOM 300 School 46,0,0,0,0,0,0
    SBBCOM 300 School 47,0,0,0,0,0,0
    SBBCOM 300 School 49,0,0,0,0,0,0
    SBBCOM 300 School 50,0,0,0,0,0,0
    SBBCOM 300 School 51,0,0,0,0,0,0
    SBBCOM 300 School 53,0,0,0,0,0,1
