School Report
Created On:,"May 20, 2023"
School:,All schools
Roles:,All roles
""
School,Administrators,Staff Members,Teachers,Parents,Students,Other
99-3 School District,18,3,3,12,7,2
    Automation Org - Do Not Delete,24,28,46307,109224,85808,31
        Auto release 10.43,5,60,100,12,110,0
    Automation Testing Organization,5,60,100,13,107,0
    Carol production,1,0,0,2,1,0
    Carol Training,10,7,1,7,4,3
    Digital Arts &amp;amp; Tech,0,0,0,0,0,0
    Elementary 04-2,0,3,0,1,1,0
    Finn & Gideon's School,1,4,0,0,0,0
    High School 42,5,12,5,10,7,0
    Middle School 42,3,3,4,5,2,0
    Naveen School,0,0,1,0,0,0
    NBO_Insitution,1,1,5,5,5,0
    ReachTest,0,4,2,2,4,6
    School_of_automation,2,0,0,0,0,0
    SQL Organization,0,0,0,49203,49203,0
    Test New Organization,0,0,0,0,0,0
    Test Organization,0,0,0,0,0,0
    Test&amp; test &amp;,0,0,0,0,0,0
